# Copyright (c) 1966-2024 Johns Hopkins University. Use of this file adheres to the terms specified at https://omim.org/help/agreement
# Generated: 2024-01-05
# See end of file for additional documentation on specific fields
# Chromosome	Genomic Position Start	Genomic Position End	Cyto Location	Computed Cyto Location	MIM Number	Gene/Locus And Other Related Symbols	Gene Name	Approved Gene Symbol	Entrez Gene ID	Ensembl Gene ID	Comments	Phenotypes	Mouse Gene Symbol/ID
chr17	2593183	2685615	17p13.3	17p13.3	601545	PAFAH1B1, LIS1	Platelet-activating factor acetylhydrolase, isoform 1B, alpha subunit	PAFAH1B1	5048	ENSG00000007168		Subcortical laminar heterotopia, 607432 (3), Autosomal dominant; Lissencephaly 1, 607432 (3), Autosomal dominant	Pafah1b1 (MGI:109520)
chr17	2689387	2712020	17p13.3	17p13.3	616184	CLUH, CLU1, KIAA0664	Clustered mitochondria, D. discoideum, homolog of	CLUH	23277	ENSG00000132361			Cluh (MGI:1921398)
chr17	2755645	3037741	17p13.3	17p13.3	618714	RAP1GAP2, GARNL4, KIAA1039	RAP1 GTPase-activating protein 2	RAP1GAP2	23108	ENSG00000132359			Rap1gap2 (MGI:3028623)
chr17	3088484	3104422	17p13.3	17p13.3	164342	OR1D2, OLFR1	Olfactory receptor, family 1, subfamily D, member 2	OR1D2	4991	ENSG00000184166	cluster of 16 genes in 350kb		Or1d2 (MGI:3030246)
chr17	3197519	3198448	17p13.3	17p13.3	618047	OR1A2	Olfactory receptor, family 1, subfamily A, member 2	OR1A2	26189	ENSG00000172150			Or1a1,Or1a1b (MGI:1333770,MGI:3030237)
chr17	3207667	3218896	17p13.3	17p13.3	618046	OR1A1	Olfactory receptor, family 1, subfamily A, member 1	OR1A1	8383	ENSG00000172146			Or1a1,Or1a1b (MGI:1333770,MGI:3030237)
chr17	3400001	10800000	17p13.2-p13.1		614341	MRT33	Intellectual developmental disorder, autosomal recessive 33		100852394		between rs1367950 and rs1826925	Intellectual developmental disorder, autosomal recessive 33, 614341 (2), Autosomal recessive	
chr17	3440019	3513858	17p13.2	17p13.2	617673	SPATA22	Spermatogenesis-associated protein 22	SPATA22	84690	ENSG00000141255			Spata22 (MGI:2685728)
chr17	3474110	3503405	17pter-p13	17p13.2	608034	ASPA	Aspartoacylase (aminoacylase-2)	ASPA	443	ENSG00000108381		Canavan disease, 271900 (3), Autosomal recessive	Aspa (MGI:87914)
chr17	3510502	3557812	17p13	17p13.2	607066	TRPV3, OLMS1, FNEPPK2	Transient receptor potential cation channel, subfamily V, member 3	TRPV3	162514	ENSG00000167723	mutation identified in 1 FNEPPK2 family	?Palmoplantar keratoderma, nonepidermolytic, focal 2, 616400 (3), Autosomal dominant; Olmsted syndrome 1, 614594 (3), Autosomal dominant	Trpv3 (MGI:2181407)
chr17	3565446	3609411	17p13	17p13.2	602076	TRPV1, VR1	Transient receptor potential cation channel, subfamily V, member 1 (vanilloid receptor 1; capsaicin receptor)	TRPV1	7442	ENSG00000196689			Trpv1 (MGI:1341787)
chr17	3608240	3636250	17p13	17p13.2	605060	SHPK, CARKL	Sedoheptulokinase	SHPK	23729	ENSG00000197417		[Sedoheptulokinase deficiency], 617213 (3), Autosomal recessive	Shpk (MGI:1921887)
chr17	3636459	3663103	17p13	17p13.2	606272	CTNS	Cystinosin	CTNS	1497	ENSG00000040531	?3 allelic forms	Cystinosis, nephropathic, 219800 (3), Autosomal recessive; Cystinosis, ocular nonnephropathic, 219750 (3), Autosomal recessive; Cystinosis, late-onset juvenile or adolescent nephropathic, 219900 (3), Autosomal recessive; Cystinosis, atypical nephropathic, 219800 (3), Autosomal recessive	Ctns (MGI:1932872)
chr17	3662895	3668578	17p13	17p13.2	616484	TAX1BP3, TIP1	TAX1-binding protein 3	TAX1BP3	30851	ENSG00000213977			Tax1bp3 (MGI:1923531)
chr17	3668812	3669665	17p13.2	17p13.2	620261	EMC6	Endoplasmic reticulum membrane protein complex, subunit 6	EMC6	83460	ENSG00000127774			Emc6 (MGI:1913298)
chr17	3673227	3696155	17p13.2	17p13.2	602836	P2RX5	Purinergic receptor P2X, ligand-gated ion channel, 5	P2RX5	5026	ENSG00000083454			P2rx5 (MGI:2137026)
chr17	3714628	3801188	17p13	17p13.2	604682	ITGAE, CD103	Integrin, alpha-E	ITGAE	3682	ENSG00000083457			Itgae (MGI:1298377)
chr17	3723903	3726699	17p13.2	17p13.2	609240	HASPIN, GSG2	Histone H3-associated protein kinase	HASPIN	83903	ENSG00000177602			Haspin (MGI:1194498)
chr17	3802158	3846246	17p13.2	17p13.2	616624	NCBP3, C17orf85	Nuclear cap-binding protein 3	NCBP3	55421	ENSG00000074356			Ncbp3 (MGI:1914124)
chr17	3860315	3893053	17p13.2	17p13.2	611411	CAMKK1, CAMKKA	Calcium/calmodulin-dependent protein kinase kinase 1, alpha	CAMKK1	84254	ENSG00000004660			Camkk1 (MGI:1891766)
chr17	3896592	3916465	17p13.3	17p13.2	600845	P2RX1, P2X1	Purinergic receptor P2X, ligand-gated ion channel, 1	P2RX1	5023	ENSG00000108405			P2rx1 (MGI:1098235)
chr17	3923873	3964437	17p13.3	17p13.2	601929	ATP2A3, SERCA3	ATPase, Ca(2+)-transporting, ubiquitous	ATP2A3	489	ENSG00000074370			Atp2a3 (MGI:1194503)
chr17	4004445	4143030	17p13.2	17p13.2	619459	ZZEF1, KIAA0399	Zinc finger ZZ-type domain- and EF-hand domain-containing protein 1	ZZEF1	23140	ENSG00000074755			Zzef1 (MGI:2444286)
chr17	4163821	4263979	17p13.2	17p13.2	607927	ANKFY1, ANKHZN, KIAA1255	Ankyrin repeats- and FYVE domain-containing protein 1	ANKFY1	51479	ENSG00000185722			Ankfy1 (MGI:1337008)
chr17	4269259	4366675	17p13.2	17p13.2	601569	UBE2G	Ubiquitin-conjugating enzyme E2 G1	UBE2G1	7326	ENSG00000132388	possible pseudogene on 1q42		Ube2g1 (MGI:1914378)
chr17	4433940	4488204	17p13.2	17p13.2	611701	SPNS3	Spinster, Drosophila, homolog of, 3	SPNS3	201305	ENSG00000182557			Spns3 (MGI:1924827)
chr17	4498881	4539035	17p13.2	17p13.2	612584	SPNS2, DFNB115	Sphingolipid transporter 2	SPNS2	124976	ENSG00000183018	mutation identified in 1 DFNB115 patient	?Deafness, autosomal recessive 115, 618457 (3), Autosomal recessive	Spns2 (MGI:2384936)
chr17	4538904	4555384	17p13.3	17p13.2	604885	MYBBP1A, P160	MYB-binding protein 1A	MYBBP1A	10514	ENSG00000132382			Mybbp1a (MGI:106181)
chr17	4556140	4560577	17p13.2	17p13.2	612341	GGT6	Gamma-glutamyltransferase 6	GGT6	124975	ENSG00000167741			Ggt6 (MGI:1918772)
chr17	4630919	4641678	17p13.3	17p13.2	152392	ALOX15	Arachidonate 15-lipoxygenase	ALOX15	246	ENSG00000161905			Alox15 (MGI:87997)
chr17	4669774	4704137	17p13.3	17p13.2	609455	PELP1, MNAR	Proline-, glutamic acid-, and leucine-rich protein 1	PELP1	27043	ENSG00000141456			Pelp1 (MGI:1922523)
chr17	4710632	4721497	17p13	17p13.2	107941	ARRB2	Arrestin, beta 2	ARRB2	409	ENSG00000141480			Arrb2 (MGI:99474)
chr17	4731428	4733607	17p13.2	17p13.2	612383	MED11, NDDRSB	Mediator complex subunit 11	MED11	400569	ENSG00000161920		Neurodegeneration with developmental delay, early respiratory failure, myoclonic seizures, and brain abnormalities, 620327 (3), Autosomal recessive	Med11 (MGI:1913422)
chr17	4733533	4739928	17p13	17p13.2	605398	CXCL16	CXC chemokine ligand-16	CXCL16	58191	ENSG00000161921			Cxcl16 (MGI:1932682)
chr17	4739833	4746119	17p13.2	17p13.2	614312	ZMYND15, SPGF14	Zinc finger MYND-containing protein 15	ZMYND15	84225	ENSG00000141497	mutation identified in 1 SPGF14 family	?Spermatogenic failure 14, 615842 (3), Autosomal recessive	Zmynd15 (MGI:3603821)
chr17	4771886	4783211	17p13.3	17p13.2	604657	TM4SF5	Transmembrane 4 superfamily, member 5	TM4SF5	9032	ENSG00000142484			Tm4sf5 (MGI:1922854)
chr17	4796164	4798495	17p13.2	17p13.2	600307	PSMB6, LMPY	Proteasome subunit, beta-type, 6	PSMB6	5694	ENSG00000142507			Psmb6 (MGI:104880)
chr17	4807152	4823430	17p13.1	17p13.2	602384	PLD2	Phospholipase D2	PLD2	5338	ENSG00000129219			Pld2 (MGI:892877)
chr17	4833340	4898061	17p13.1	17p13.2	609426	MINK1, MINK	Misshapen/nik-related kinase 1	MINK1	50488	ENSG00000141503			Mink1 (MGI:1355329)
chr17	4897771	4908677	17p13-p12	17p13.2	100725	CHRNE, SCCMS, CMS4A, CMS4B, CMS4C	Cholinergic receptor, nicotinic, epsilon polypeptide	CHRNE	1145	ENSG00000108556		Myasthenic syndrome, congenital, 4A, slow-channel, 605809 (3), Autosomal recessive, Autosomal dominant; Myasthenic syndrome, congenital, 4C, associated with acetylcholine receptor deficiency, 608931 (3), Autosomal recessive; Myasthenic syndrome, congenital, 4B, fast-channel, 616324 (3), Autosomal recessive	Chrne (MGI:87894)
chr17	4932277	4935023	17pter-p12	17p13.2	606672	GP1BA, BSS, BDPLT1, VWDP, BDPLT3	Glycoprotein Ib, platelet, alpha polypeptide	GP1BA	2811	ENSG00000185245		Bernard-Soulier syndrome, type A1 (recessive), 231200 (3), Autosomal recessive; Bernard-Soulier syndrome, type A2 (dominant), 153670 (3), Autosomal dominant; von Willebrand disease, platelet-type, 177820 (3), Autosomal dominant; {Nonarteritic anterior ischemic optic neuropathy, susceptibility to}, 258660 (3), Autosomal recessive	Gp1ba (MGI:1333744)
chr17	4937130	4940046	17p13.3	17p13.2	604165	SLC25A11, SLC20A4, OGC, PPGL6	Solute carrier family 25 (mitochondrial carrier; oxoglutarate carrier), member 11	SLC25A11	8402	ENSG00000108528		Pheochromocytoma/paraganglioma syndrome 6, 618464 (3), Autosomal dominant	Slc25a11 (MGI:1915113)
chr17	4940092	4945222	17p13.2	17p13.2	610431	RNF167, RING105	RING finger protein 167	RNF167	26001	ENSG00000108523			Rnf167 (MGI:1917760)
chr17	4945652	4948530	17p13.3	17p13.2	176610	PFN1, ALS18	Profilin-1	PFN1	5216	ENSG00000108518		Amyotrophic lateral sclerosis 18, 614808 (3)	Pfn1 (MGI:97549)
chr17	4948710	4957129	17pter-p12	17p13.2	131370	ENO3, GSD13	Enolase-3, beta, muscle	ENO3	2027	ENSG00000108515		Glycogen storage disease XIII, 612932 (3), Autosomal recessive	Eno3 (MGI:95395)
chr17	4959226	4967817	17p13.2	17p13.2	610056	SPAG7	Sperm-associated antigen 7	SPAG7	9552	ENSG00000091640			Spag7 (MGI:107380)
chr17	4967997	4987675	17p13.2	17p13.2	611508	CAMTA2, KIAA0909	Calmodulin-binding transcription activator 2	CAMTA2	23125	ENSG00000108509			Camta2 (MGI:2135957)
chr17	4988130	4997522	17p13	17p13.2	617374	INCA1, HSD45	Inhibitor of CDK, cyclin A1-interacting protein 1	INCA1	388324	ENSG00000196388			Inca1 (MGI:2144284)
chr17	4997950	5028401	17p13.2	17p13.2	603060	KIF1C, LTXS1, KIAA0706, SPAX2	Kinesin family member 1C	KIF1C	10749	ENSG00000129250		Spastic ataxia 2, autosomal recessive, 611302 (3), Autosomal recessive	Kif1c (MGI:1098260)
chr17	5032602	5042414	17p13.2	17p13.2	607883	SLC52A1, GPR172B, GPCR42, PAR2, FLJ10060, RBFVD	Solute carrier family 52, riboflavin transporter, member 1	SLC52A1	55065	ENSG00000132517		Riboflavin deficiency, 615026 (3), Autosomal dominant	Slc52a2 (MGI:1289288)
chr17	5078467	5096374	17pter-p12	17p13.2	194480	ZFP3	Zinc finger protein-3	ZFP3	124961	ENSG00000180787	probably in cluster with ZNF29 proximal to TP53		Zfp3 (MGI:99177)
chr17	5105734	5123116	17p13.2	17p13.2	616463	ZNF232, ZSCAN11	Zinc finger protein 232	ZNF232	7775	ENSG00000167840			
chr17	5116032	5174991	17p13	17p13.2	604334	USP6, TRE2	Ubiquitin-specific protease 6	USP6	9098	ENSG00000129204			
chr17	5208920	5234860	17p13.2	17p13.2	614406	SCIMP, C17orf87	SLP adaptor- and CSK-interacting membrane protein	SCIMP	388325	ENSG00000161929			Scimp (MGI:3610314)
chr17	5282284	5386340	17p13	17p13.2	603616	RABEP1, RABPT5	RAB GTPase-binding effector protein 1	RABEP1	9135	ENSG00000029725	fused to PDGFRB in CMML		Rabep1 (MGI:1860236)
chr17	5384833	5419662	17p13	17p13.2	602552	NUP88, FADS4	Nucleoporin, 88-kD	NUP88	4927	ENSG00000108559		Fetal akinesia deformation sequence 4, 618393 (3), Autosomal recessive	Nup88 (MGI:104900)
chr17	5420182	5432877	17p13	17p13.2	617299	RPAIN, RIP	RPA-interacting protein	RPAIN	84268	ENSG00000129197			Rpain (MGI:1916973)
chr17	5432777	5439155	17p13.3	17p13.2	601269	C1QBP, HABP1, COXPD33	Complement component C1q binding protein (hyaluronic acid-binding protein 1)	C1QBP	708	ENSG00000108561		Combined oxidative phosphorylation deficiency 33, 617713 (3), Autosomal recessive	C1qbp (MGI:1194505)
chr17	5440917	5468982	17p13.2	17p13.2	614405	DHX33	DEAH-box helicase 33	DHX33	56919	ENSG00000005100			Dhx33 (MGI:2445102)
chr17	5471254	5486817	17p13.2	17p13.2	610304	DERL2	DER1-like domain family, member 2	DERL2	51009	ENSG00000072849			Derl2 (MGI:2151483)
chr17	5486374	5490811	17p13.2	17p13.2	609178	MIS12	MIS12 kinetochore complex component	MIS12	79003	ENSG00000167842			Mis12 (MGI:1914389)
chr17	5501396	5584509	17p13	17p13.2	606636	NLRP1, NALP1, KIAA0926, DEFCAP, CARD7, VAMAS1, MSPC, AIADK, JRRP	NLR family, pyrin domain containing 1	NLRP1	22861	ENSG00000091592	mutation identified in 1 JRRP family	{Vitiligo-associated multiple autoimmune disease susceptibility 1}, 606579 (3); ?Respiratory papillomatosis, juvenile recurrent, congenital, 618803 (3), Autosomal recessive; Autoinflammation with arthritis and dyskeratosis, 617388 (3), Autosomal recessive, Autosomal dominant; Palmoplantar carcinoma, multiple self-healing, 615225 (3), Autosomal dominant	Nlrp1a,Nlrp1b (MGI:2684861,MGI:3582959)
chr17	6069116	6124427	17p13.2	17p13.2	619584	WSCD1, KIAA0523	WSC domain-containing protein 1	WSCD1	23302	ENSG00000179314			Wscd1 (MGI:2448493)
chr17	6423738	6435121	17p13.1	17p13.2	604392	AIPL1, LCA4	Arylhydrocarbon-interacting receptor protein-like 1	AIPL1	23746	ENSG00000129221	LCA1 due to GUCY2D mutation also on 17p13.1	Leber congenital amaurosis 4, 604393 (3), Autosomal recessive, Autosomal dominant; Retinitis pigmentosa, juvenile, 604393 (3), Autosomal recessive, Autosomal dominant; Cone-rod dystrophy, 604393 (3), Autosomal recessive, Autosomal dominant	Aipl1 (MGI:2148800)
chr17	6444455	6451469	17p13.2	17p13.2	617611	PIMREG, RCS1, FAM64A	PICALM-interacting mitotic regulator	PIMREG	54478	ENSG00000129195			Pimreg (MGI:1924434)
chr17	6451263	6556555	17p13.1	17p13.2-p13.1	608921	PITPNM3, NIR1, CORD5	Phosphatidylinositol transfer protein, membrane-associated, 3	PITPNM3	83394	ENSG00000091622		Cone-rod dystrophy 5, 600977 (3), Autosomal dominant	Pitpnm3 (MGI:2685726)
chr17	6500001	10800000	17p13.1		613776	DEL17p13.1, C17DELp13.1	Chromosome 17p13.1 deletion syndrome				contiguous gene deletion syndrome	Chromosome 17p13.1 deletion syndrome, 613776 (4), Autosomal dominant	
chr17	6500001	10800000	17p13.1		610208	MGR10	Migraine with or without aura, susceptibility to, 10		117204002			{Migraine with or without aura, susceptibility to, 10}, 610208 (2), Autosomal dominant	
chr17	6500001	83257441	17p13.1-q25		600720	NOS2P1, NOS2C	Nitric oxide synthase 2 pseudogene 1	NOS2P1	645740				
chr17	6578147	6640711	17p13.1	17p13.1	617112	KIAA0753, OFIP, OFD15, JBTS38, SRTD21	KIAA0753 gene	KIAA0753	9851	ENSG00000198920	mutation identified in 1 OFD15 patient and 1 JBTS38 family	?Orofaciodigital syndrome XV, 617127 (3), Autosomal recessive; ?Joubert syndrome 38, 619476 (3), Autosomal recessive; Short-rib thoracic dysplasia 21 without polydactyly, 619479 (3), Autosomal recessive	4933427D14Rik (MGI:1921727)
chr17	6641060	6644541	17p13.1	17p13.1	616967	TXNDC17, TRP14, TXNL5	Thioredoxin domain-containing protein 17	TXNDC17	84817	ENSG00000129235			Txndc17 (MGI:1289248)
chr17	6643311	6651605	17p13.1	17p13.1	620492	MED31, SOH1, SEP10	Mediator complex subunit 31	MED31	51003	ENSG00000108590			Med31 (MGI:1914529)
chr17	6684719	6713369	17p13-p12	17p13.1	608305	SLC13A5, NACT, DEE25	Solute carrier family 13 (sodium-dependent citrate transporter), member 5	SLC13A5	284111	ENSG00000141485		Developmental and epileptic encephalopathy 25, with amelogenesis imperfecta, 615905 (3), Autosomal recessive	Slc13a5 (MGI:3037150)
chr17	6755447	6775647	17p13.2	17p13.1	606717	XAF1	XIAP-associated factor 1	XAF1	54739	ENSG00000132530			Xaf1 (MGI:3772572)
chr17	6776215	6787646	17p13.2	17p13.1	609106	FBXO39, FBX39	F-box protein 39	FBXO39	162517	ENSG00000177294			Fbxo39 (MGI:3505735)
chr17	6797993	6831729	17p13.1	17p13.1	609002	TEKT1	Tektin 1	TEKT1	83659	ENSG00000167858			Tekt1 (MGI:1333819)
chr17	6996049	7010754	17p13.1	17p13.1	152391	ALOX12	Arachidonate 12-lipoxygenase	ALOX12	239	ENSG00000108839	pseudogene also on chr.17		Alox12 (MGI:87998)
